1	1	353
2	354	12473
1	12474	15413
2	15414	15982
1	15983	44184
2	44185	45852
1	45853	53108
2	53109	54960
1	54961	56500
2	56501	58064
1	58065	58768
2	58769	60763
1	60764	66766
2	66767	68439
1	68440	68506
2	68507	68868
1	68869	69327
2	69328	71233
1	71234	72741
2	72742	74035
1	74036	74444
2	74445	77063
1	77064	77615
2	77616	78765
1	78766	80429
2	80430	81555
1	81556	82693
2	82694	84166
1	84167	92491
2	92492	94038
1	94039	94942
2	94943	103650
1	103651	105394
2	105395	105779
1	105780	117995
2	117996	120562
1	120563	121090
2	121091	121178
1	121179	135368
2	135369	136669
1	136670	137276
2	137277	140094
1	140095	140176
2	140177	144791
1	144792	145404
2	145405	152101
1	152102	153535
2	153536	159793
1	159794	160819
2	160820	161228
1	161229	163476
2	163477	165636
1	165637	170736
2	170737	172368
1	172369	185604
2	185605	192577
1	192578	200805
2	200806	203322
1	203323	204321
2	204322	206932
1	206933	207027
2	207028	212740
1	212741	213463
2	213464	215535
1	215536	217432
2	217433	219981
1	219982	221700
2	221701	223597
1	223598	226231
2	226232	227739
1	227740	228150
2	228151	228650
1	228651	228797
2	228798	232904
1	232905	242159
2	242160	243387
1	243388	252751
2	252752	253922
1	253923	255519
2	255520	259617
1	259618	259686
2	259687	261897
1	261898	262077
2	262078	262956
1	262957	263108
2	263109	267050
1	267051	278426
2	278427	280017
1	280018	291142
2	291143	304929
1	304930	306533
2	306534	309937
1	309938	310729
2	310730	313399
1	313400	330333
2	330334	332087
1	332088	358969
2	358970	359662
1	359663	367077
2	367078	368937
1	368938	403660
2	403661	404366
1	404367	410899
2	410900	415030
1	415031	422004
2	422005	425471
1	425472	438591
2	438592	459026
1	459027	460696
2	460697	461377
1	461378	463731
2	463732	467560
1	467561	467684
2	467685	469014
1	469015	470370
2	470371	471377
1	471378	472154
2	472155	473969
1	473970	474897
2	474898	480346
1	480347	480521
2	480522	483707
1	483708	486248
2	486249	486661
1	486662	499698
2	499699	500332
1	500333	515672
2	515673	516330
1	516331	538603
2	538604	539904
1	539905	544310
2	544311	545121
1	545122	545179
2	545180	557600
1	557601	559375
2	559376	574778
1	574779	576130
2	576131	598919
1	598920	600237
2	600238	600775
1	600776	603218
2	603219	606024
1	606025	606841
2	606842	610444
1	610445	637165
2	637166	641747
1	641748	642039
2	642040	643498
1	643499	643701
2	643702	647154
1	647155	655632
2	655633	656235
1	656236	656570
2	656571	657019
1	657020	678534
2	678535	695701
1	695702	701726
2	701727	704255
1	704256	722138
2	722139	723009
1	723010	732343
2	732344	735803
1	735804	736273
2	736274	771298
1	771299	771799
2	771800	773000
1	773001	773654
2	773655	773818
1	773819	774476
2	774477	778404
1	778405	779227
2	779228	780974
1	780975	782720
2	782721	787073
1	787074	791166
2	791167	794207
1	794208	807986
2	807987	809626
1	809627	810219
2	810220	811842
1	811843	812221
2	812222	836753
1	836754	841345
2	841346	847196
1	847197	870928
2	870929	871670
1	871671	878902
2	878903	879460
1	879461	903500
2	903501	912794
1	912795	934399
2	934400	934900
1	934901	953808
2	953809	955661
1	955662	962778
2	962779	964711
1	964712	985333
2	985334	986623
1	986624	1020725
2	1020726	1020885
1	1020886	1043472
2	1043473	1045250
1	1045251	1045378
2	1045379	1047270
1	1047271	1047353
2	1047354	1049087
